ISO;Usable?;Continent;Region;Population;GDP/c PPP 2018 (US$);Country;Index-4;Index-3;Index-2;Index-1;Intergenerational Solidarity Index;Rank;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Annual forest cover change  (%);Carbon footprint intensity ($ GDP (PPP) per GHa);Renewable and nuclear (% of energy consumption)*;Wealth inequality Gini coefficient ;Current account balance (%GDP);Adjusted Net Savings (%GNI);Primary pupil: teacher ratio;Child mortality, per 1000*;"Predicted birth rate per woman; adjusted for child mortality";Fossil hydrocarbon production (million Gj/capita);v2x_libdem;AdjDi;FSI
BFA;1;Africa;Sub-Saharan Africa;19751535;1980;Burkina Faso;24,1;24,3;20,3;26,1;23,6;109;100;20;54,4;18,3;30,9;75,3;22,3;1;32,9;3,06;34,8;1;12,9;-1,11;13600;5,39;67,4;-7,77;-3,92;43;87,2;4,96;0;0,499;0,00795;83,9
BDI;1;Africa;Sub-Saharan Africa;11175378;743;Burundi;43,4;44,2;38,1;47,4;43,5;81;100;100;81,1;79;86,7;82;1;1;28;0,888;100;1;34;1,7;20300;39,6;65,4;-12,4;-19,3;46,2;67,5;5,31;0;0,05;0,0154;98,2
KHM;1;Asia;Eastern Asia;16249798;4350;Cambodia;39,1;42,6;39,1;45;44,4;80;100;11,2;53;56,5;40,2;65,3;10,6;57,3;44,4;2,06;74,9;70,2;49;-1,33;13200;19,1;70,4;-8,94;11,5;44,3;32,2;2,52;0;0,079;0,0262;82,5
CMR;1;Africa;Sub-Saharan Africa;25216237;3770;Cameroon;21,5;22,2;21,4;23,1;15,2;117;98,2;17,8;69,6;51,3;46,2;58,3;65,8;17,3;47,1;2,85;1;1;1,62;-1,16;17400;31,8;72,5;-3,42;3,47;43,3;86,1;4,37;8840;0,131;0,00803;97
CAN;1;Americas;North America;37058856;48100;Canada;58,7;58,9;58,3;57,8;56,4;55;28,4;98,7;34;55,2;62,6;58;70,7;35,1;54,6;69,6;54,7;66,1;63,5;-0,0134;8510;34,3;72,6;-2,93;7,01;16,6;5,28;1,55;467000;0,759;9,32;20
CHL;1;Americas;Latin America and the Caribbean;18729160;25200;Chile;62,6;60,9;60,2;61,6;60,8;46;98,7;100;48,2;40,4;62,9;42,3;78,5;25,5;48,8;61,7;67,2;91,5;73,5;1,73;12100;21,1;77,3;-2,15;5,11;18,6;7,88;1,74;6360;0,771;1,89;38,9
CHN;1;Asia;Eastern Asia;1392730000;18200;China;68,3;68,3;66,2;67,9;69,8;25;85,6;100;24,3;37,2;53,8;62;100;100;87,3;70,1;72,4;79,6;74,1;0,746;6080;10,2;71,4;1,76;21,4;16,5;10,8;1,65;74800;0,056;5,46;71,1
COL;1;Americas;Latin America and the Caribbean;49648685;15000;Colombia;55,8;55,4;56,2;58,4;52,5;61;80,1;95,5;75,8;47,9;73,1;31;54;17,4;34,1;41,3;40;98,6;60;-0,0456;18900;26,6;80,7;-4,6;3,48;24,3;15,7;1,83;105000;0,475;4,85;75,7
CRI;1;Americas;Latin America and the Caribbean;4999441;17600;Costa Rica;71,8;69,6;74,7;77,9;74,7;8;100;100;58,3;74,1;77,5;43,7;66,7;72,7;61;86,5;79,6;98,6;88,2;1,11;14600;48,4;76,9;-3,33;14,5;12,8;9,12;1,79;0;0,832;0,148;42
CIV;1;Africa;Sub-Saharan Africa;25069229;4200;Cote d'Ivoire;29,9;30,5;29,2;31,2;20,7;112;98,5;99,6;55;20,5;58,4;54;92,3;85,7;77,3;3,9;1;1;1,97;-0,00385;13800;8,07;73,8;-0,772;17,1;42,1;90,1;4,38;7450;0,451;0,0551;92,1
