ISO;Usable?;Continent;Region;Population;GDP/c PPP 2018 (US$);Country;Index-4;Index-3;Index-2;Index-1;Intergenerational Solidarity Index;Rank;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Annual forest cover change  (%);Carbon footprint intensity ($ GDP (PPP) per GHa);Renewable and nuclear (% of energy consumption)*;Wealth inequality Gini coefficient ;Current account balance (%GDP);Adjusted Net Savings (%GNI);Primary pupil: teacher ratio;Child mortality, per 1000*;"Predicted birth rate per woman; adjusted for child mortality";Fossil hydrocarbon production (million Gj/capita);v2x_libdem;AdjDi;FSI
MEX;1;Americas;Latin America and the Caribbean;126190788;19900;Mexico;50,9;50,7;50,4;53,1;49;71;87,9;86,6;48,5;28,2;54,4;33,3;79,5;30,6;47,8;32,9;20,9;84,1;46;-0,139;12100;7,21;80;-2,05;6,13;27,1;14,7;2,18;62600;0,527;0,314;69,7
MNG;1;Asia;Eastern Asia;3170208;13700;Mongolia;40,7;40,4;36,3;33,3;28,1;107;49,6;37,9;11,2;18,8;22,7;80,3;1;1;27,4;28,6;33,5;56,4;39,5;-0,769;2810;2,67;65,9;-11;-0,867;28,6;18,7;2,85;296000;0,484;1,14;54,1
MAR;1;Africa;North Africa and Middle East;36029138;8590;Morocco;55,7;56,5;57,3;56,8;55,4;57;100;86,3;48,9;30,3;55,2;32,7;58,1;100;63,6;34,7;37,6;72,8;48,4;-0,142;12200;7,27;80,2;-4,19;20;26,4;25,6;2,45;115;0,255;0,152;73
MOZ;1;Africa;Sub-Saharan Africa;29495962;1330;Mozambique;31,2;31,7;21,9;30,8;31,6;102;96,7;53,2;24,9;100;59,4;66,7;1;1;22,9;1;67,9;1;23,3;-0,541;6240;56,5;70;-32,1;-8,97;54,1;82,3;4,64;16500;0,322;0;88,7
MMR;1;Asia;Eastern Asia;53708395;6660;Myanmar;62,8;60,3;57,6;61,4;57,6;53;97,4;0,628;100;52,7;51,1;100;58,9;100;86,3;41,5;1;88;43,5;-1,84;38600;21,9;58,2;-4,11;25,1;24,2;51,7;2,09;13200;0,25;0;94,3
NPL;1;Asia;Western Asia;28087871;3060;Nepal;78,3;79,4;75,7;81,4;77,9;3;100;100;50;68,6;72,9;67;100;100;89;44,9;83,2;90,5;72,8;0;12500;40,5;69,9;2,46;37,3;23,2;36,6;2,03;11,3;0,458;0,0469;84,7
NLD;1;Europe;Europe;17231017;56300;Netherlands;70,3;70,5;70,2;71,2;71,5;18;76,5;100;54,1;27,2;60,4;54,7;100;77,5;77,4;91,8;69,9;82,3;81,3;0,178;13500;5,63;73,6;8,91;15,5;11,7;4,04;1,67;125000;0,807;3,62;24,8
NZL;1;Oceania;Oceania;4885500;41000;New Zealand;66,8;69,6;69,7;69,5;70;22;84,6;100;47,1;60,3;69,1;64;70,7;64;66,3;78,3;56,6;95,5;76,8;0,00197;11800;37,5;70,8;-2,93;12,8;14,6;5,94;1,91;80300;0,805;2,01;20,1
NER;1;Africa;Sub-Saharan Africa;22442948;1050;Niger;35,8;36,9;32,3;38,8;34,4;94;99,6;;46,3;31,4;38,9;80;1;30,9;37,3;11,8;71,6;1;28,1;-1,07;11600;7,29;66;-16,9;6,17;36,3;94,6;6,48;2090;0,439;0,018;96,2
NGA;1;Africa;Sub-Saharan Africa;195874740;5980;Nigeria;28,3;26,2;26,8;26,5;14,3;119;92,9;1;100;16,4;39,1;1;100;9,1;36,7;4,19;1;1;2,06;-5,57;26400;4,05;89,4;0,0888;1,82;41,8;125;4,89;36400;0,435;1,54;98,5
NOR;1;Europe;Europe;5314336;65600;Norway;67,9;68,3;68;67,6;67,8;26;1;100;79;82,2;87,1;36,3;100;96,1;77,5;100;85,6;90,6;92,1;0,0231;19700;68,3;79,1;7,34;19,2;8,92;2,74;1,73;1650000;0,867;16,9;18
OMN;1;Asia;North Africa and Middle East;4829483;41400;Oman;;;;;19,3;114;4,2;;33,4;1;17,2;37,3;1;1;13,1;99,4;1;54,4;51,6;0;8350;0,0122;78,8;-10,1;-12,7;10,1;11,3;2,89;795000;0,128;0,00533;50
PAK;1;Asia;Western Asia;212215030;5540;Pakistan;32,6;33;31,6;33,2;30;106;98,5;1;54,9;35,1;30,4;83,3;66,5;70;73,3;1,23;1;34,1;12,1;-2,84;13700;13,8;65;-3,35;14;45,6;76;3,38;7710;0,259;1,24;94,2
PAN;1;Americas;Latin America and the Caribbean;4176873;25500;Panama;48,5;48,6;51,1;52,9;50,8;67;100;67,7;92,8;43,5;68;35;7,89;100;47,6;49,3;1;71;40,4;-0,354;23200;16;79,5;-9,21;25,8;21,9;16,9;2,49;0;0,608;0,0242;47
PER;1;Americas;Latin America and the Caribbean;31989256;14400;Peru;59,1;59,3;58,7;60,3;58,9;49;94,3;78,7;76,7;41,1;65,5;35;69,9;47;50,6;64;42,7;79,5;62,1;-0,226;19200;23,2;79,5;-3,01;9,41;18;16,2;2,29;29100;0,621;1,44;68,2
PHL;1;Asia;Eastern Asia;106651922;8940;Philippines;61;61,6;62;62,2;58;52;99,2;100;79,7;35,6;71,8;24,7;100;100;74,9;24,5;23,1;61,6;36,4;3,08;19900;13,9;82,6;0,561;28,2;30,2;30,1;2,72;3780;0,324;3,97;83,1
POL;1;Europe;Europe;37978548;31300;Poland;56,2;57,3;60,1;62,5;63,2;40;87,1;100;42;9,08;50,4;59,3;92,8;50,5;67,5;97,9;91,9;38,1;75,9;0,228;10500;0,703;72,2;-0,724;10,1;10,4;4,88;1,34;66700;0,548;8,1;42,8
PRT;1;Europe;Europe;10281762;33000;Portugal;56,7;60,1;62,6;63,4;62,8;42;100;67,2;56,5;63,4;62,4;54,7;100;10,2;54,9;85,2;100;31,9;72,4;-0,36;14100;26,8;73,6;0,132;2,04;13,1;3,7;1,29;0;0,812;3,03;25,3
QAT;1;Asia;North Africa and Middle East;2781677;127000;Qatar;37,4;38,2;39,3;40,3;39,7;85;1;;39;1;20;95;100;100;98,3;93,9;1;95,3;63,4;;9760;0,00802;61,5;7,91;28,1;11,2;7,8;1,91;4200000;0,087;0,0176;45,4
ROU;1;Europe;Europe;19473936;28200;Romania;60;61,1;63,5;69,2;63,4;39;92,3;100;64,5;70;78,2;57,3;76,6;28,2;54;59,6;55,8;68,2;61,2;1,03;16100;26,2;72,8;-2,34;5,63;19,1;9,22;1,56;39200;0,408;1,73;47,8
RUS;1;Europe;Europe;144478050;27100;Russian Federation;52,5;53,4;53,6;56,1;52,7;60;35,7;99,5;27,2;26,8;51,1;8,33;100;41,1;49,8;55,9;53,7;91,6;67;-0,00503;6790;7,91;87,5;3,71;8,23;20,1;8,52;1,74;402000;0,124;2,65;74,7
RWA;1;Africa;Sub-Saharan Africa;12301939;2250;Rwanda;37,5;36,3;13,5;37,2;38;88;100;100;98,7;47,7;82,1;57,3;1;1;19,8;1;91,4;8,78;33,7;1,44;24700;18,2;72,8;-11,7;-4,98;58,5;41,7;3,99;0;0,164;0,026;87,5
SAU;1;Asia;North Africa and Middle East;33699947;55100;Saudi Arabia;31,5;32,2;33,3;33,5;33,5;98;0,293;;45,3;1;23,2;30;100;79;69,7;95,2;1;71,1;55,8;0;11300;0;81;1,59;15,8;11;8,62;2,49;946000;0,04;0,00581;70,4
SEN;1;Africa;Sub-Saharan Africa;15854360;3780;Senegal;38,4;41,1;40,1;43,3;38,1;87;100;57,7;81,2;14,1;51;65;41,2;52,3;52,8;19,7;40,7;1;20,5;-0,481;20300;2;70,5;-5,88;10,5;32,2;50,4;4,59;139;0,558;0,174;77,2
SLE;1;Africa;Sub-Saharan Africa;7650154;1600;Sierra Leone;30,7;31,8;27;32,3;22,3;110;100;100;63,2;22,5;61,9;76,3;1;1;26,1;11,7;1;8,04;6,9;2,14;15800;3,6;67,1;-13;-21;36,3;123;4,01;0;0,385;0,00603;86,8
SGP;1;Asia;Eastern Asia;5638676;101000;Singapore;60,7;;;64,4;63;41;100;86,3;75,2;6,81;56,1;47,3;100;100;82,4;76,3;65,4;20,6;54,1;-0,142;18800;0,461;75,8;17,4;36,4;15,1;2,72;1,2;0;0,326;11,2;28,1
SVK;1;Europe;Europe;5447011;33900;Slovak Republic;66,4;67,7;68,7;68,7;67,5;27;99;100;44,2;58,9;67,7;100;85,7;24,6;70,1;75,8;71,5;47,4;64,9;0,0136;11100;29,3;49,8;-1,43;4,92;15,2;6,06;1,41;5010;0,711;3,03;40,5
SVN;1;Europe;Europe;2067372;38200;Slovenia;73,6;74,4;74,4;74,8;72,5;13;96,1;100;42,8;49;63,9;84,7;100;38,9;74,5;71,9;100;69,1;80,3;0,02;10700;26,8;64,6;5,12;7,79;16,1;2,48;1,57;19800;0,773;3,24;28
ZAF;1;Africa;Sub-Saharan Africa;57779622;13700;South Africa;38,2;36,3;36,6;35,3;36,3;91;79,5;100;25,8;17,6;47,8;31,3;62,6;1,71;31,9;20,9;1;75,5;32,5;0;6440;2,89;80,6;-3,74;0,343;31,7;38,1;2,39;108000;0,575;1,56;71,1
ESP;1;Europe;Europe;46723749;39900;Spain;68,8;70,9;71,4;73,3;72,2;14;99,7;100;65,3;60,5;75,3;67,7;100;37,1;68,2;84,9;100;35,4;73,4;0,198;16300;27,7;69,7;1,45;7,42;13,1;3,3;1,32;1500;0,742;2,48;40,7
LKA;1;Asia;Western Asia;21670000;13400;Sri Lanka;74,6;75,1;70,1;75;72,2;15;100;70,7;86,7;27,3;61,6;71;74,5;100;81,8;44,4;95,9;83,6;74,6;-0,318;21700;16,8;68,7;-2,55;25,3;23,3;8,84;2,19;0;0,462;0,171;84
SWZ;1;Africa;Sub-Saharan Africa;1136191;10700;Swaziland;49,8;52,5;50,9;54,2;50,2;69;99,2;100;49,9;56,9;68,9;41,3;100;49;63,4;31;1;55,2;29;0,791;12500;29,8;77,6;15,6;9,8;27,7;63,9;2,88;4040;0,156;0,013;85,3
SWE;1;Europe;Europe;10183175;52700;Sweden;82,9;82,7;82;82,5;81,1;2;100;100;59,8;89,8;83,2;11,7;100;92,2;67,9;90;95,7;97,6;94,4;0,148;15000;67,2;86,5;3,39;18,4;12;2,86;1,86;0;0,865;20,2;20,3
CHE;1;Europe;Europe;8516543;68100;Switzerland;74,4;74,6;77,5;78,8;77;4;100;100;71,3;73,6;81,7;53;100;86;79,7;98,9;48;63,9;70,3;0,304;17800;51,5;74,1;9,21;17,2;10,2;4,32;1,53;0;0,838;29,8;18,7
TJK;1;Asia;Western Asia;9100837;3440;Tajikistan;;;;;54,5;58;99,4;100;55,8;19,2;58,3;84,7;66,9;12,1;54,6;47,7;75;30;50,9;0,264;14000;30,4;64,6;-3,31;2,43;22,4;37,8;3,48;3210;0,064;0,409;77,7
TZA;1;Africa;Sub-Saharan Africa;56318348;3230;Tanzania;33;34,6;34,1;38,1;33,9;95;99,8;35,9;76,4;14,7;42,4;83,3;33;100;72,1;2,36;34,9;1;12,8;-0,801;19100;11,6;65;-6,7;21;43,9;59,1;4,78;1170;0,382;0,769;80,1
THA;1;Asia;Eastern Asia;69428524;19000;Thailand;61,9;61;60,5;60,8;58,4;51;92,6;100;46,4;21,9;56,1;1;100;61,2;54,1;71;65,9;62,7;66,6;0,183;11600;4,16;90,2;8,28;12,2;16,3;10,5;1,52;37700;0,102;2,88;73,1
TGO;1;Africa;Sub-Saharan Africa;7889094;1760;Togo;23,3;21,5;17,8;21;21,6;111;100;1;22,7;31,3;18,3;60,3;17,6;1;26,3;4,96;56,3;1,24;20,8;-9,71;5690;13,9;71,9;-8,24;-6,36;41,1;76,9;4,17;0;0,199;0,0453;87,4
TUN;1;Africa;North Africa and Middle East;11565204;12500;Tunisia;46,3;46;44;45,9;44,4;79;97,1;100;44,1;11,1;51,7;72,3;3,62;1;25,6;70,2;45,4;83,3;66,3;0,99;11000;1,29;68,3;-9,64;-5,98;16,5;17,2;2,2;14800;0,676;0,0804;70,1
TUR;1;Asia;North Africa and Middle East;82319724;27900;Turkey;48,1;51,1;53;54,4;51,6;64;98;100;53,6;36,2;63,3;9,67;57,3;58,9;42;59,3;7,77;88,6;51,9;0,882;13400;13,6;87,1;-4,27;11,8;19,2;12,7;2,07;9820;0,139;0,697;80,3
UGA;1;Africa;Sub-Saharan Africa;42723139;2030;Uganda;28,8;30,1;27,5;34,2;32,4;101;100;1;81,3;40,8;41;62;34,8;1;32,6;2,66;72,7;1;25,4;-6,16;20300;28,8;71,4;-6,52;-7,13;43,5;55,2;5,1;0;0,269;1,46;95,3
UKR;1;Europe;Europe;44622516;9230;Ukraine;40,4;42,8;45,7;48,8;50,8;66;91,9;100;22,7;56;59,6;1;82,9;1;28,3;82,6;100;54,1;78,9;0,227;5690;21,1;95,5;-1,71;-0,391;13,7;9,54;1,46;41300;0,223;4,31;71
GBR;1;Europe;Europe;66488991;45500;United Kingdom;61,8;62,9;60,5;61,6;61,3;45;88,5;100;56,8;45,8;67,5;51;55,4;22,8;43,1;68,2;74,1;99,5;80,6;0,544;14200;17;74,7;-4,46;4,56;17;4,46;1,8;59500;0,8;3,41;36,7
USA;1;Americas;North America;327167434;62600;United States;51,1;52,1;52,4;53;52,5;62;60,5;100;39,4;43,8;61,1;16;77,5;33,2;42,2;78,8;3,35;99,3;60,5;0,0888;9860;16,9;85,2;-2,25;6,64;14,5;6,8;1,82;222000;0,741;17,6;38
URY;1;Americas;Latin America and the Caribbean;3449299;23500;Uruguay;66,5;64,4;72,6;76,6;74,5;10;100;100;64,6;63,5;76;53;93,5;51,6;66;92,3;62,7;92,6;82,5;1,25;16100;46,5;74,1;-0,647;10,3;11,6;8,82;1,98;0;0,783;1,03;34
VNM;1;Asia;Eastern Asia;95540395;7430;Vietnam;73,2;74,7;71,3;71,3;70;21;95,4;100;30;43,9;57,9;64;100;76;80;58,8;72;93;74,6;0,881;7490;21,5;70,8;2,85;15,2;19,3;21,8;1,97;23400;0,161;1,24;66,1
ZMB;1;Africa;Sub-Saharan Africa;17351822;4220;Zambia;17,6;18;21,8;26,8;18,4;115;99,9;68,8;68,8;87,4;75;37,7;70,4;51,3;53,1;2,7;1;1;1,57;-0,341;17200;72,5;78,7;-2,96;10,3;43,4;64,7;4,6;252;0,244;0,0227;85,7
ZWE;1;Africa;Sub-Saharan Africa;14439018;3020;Zimbabwe;21,9;28,8;23,5;30,1;30,8;104;98,6;1;29,7;65,6;32,1;64,3;36;1;33,8;11,5;47;22,1;26,9;-2,18;7430;26;70,7;-6,4;-21,3;36,4;54,8;3,67;7150;0,205;0,0651;99,5
