ISO;Usable?;Continent;Region;Politics;Population;GDP/c PPP 2018;Country;Index-4;Index-3;Index-2;Index-1;Index0;Index0-H-Ind;Index0-En-1-Ind;Index0-En-2-Ind;Index0-En-3-Ind;Index0-En-T-Ind;Index0-Ec-1-Ind;Index0-Ec-2-Ind;Index0-Ec-3-Ind;Index0-Ec-T-Ind;Index0-S-1-Ind;Index0-S-2-Ind;Index0-S-3-Ind;Index0-S-T-Ind;Index0-H-Raw;Index0-En-1-Raw;Index0-En-2-Raw;Index0-En-3-Raw;Index0-Ec-1-Raw;Index0-Ec-2-Raw;Index0-Ec-3-Raw;Index0-S-1-Raw;Index0-S-2-Raw;Index0-S-3-Raw;v2x_libdem;DI adj. for pop., area, and heterogeneity (A =0.1);FSI
BOL;1;Americas;Latin America and the Caribbean;;11353142;7859,281711;Bolivia;44,22312117;45,71265464;44,04110783;43,49645799;38,27817729;83,8882693;26,1657957;38,92824128;24,37055974;29,82153224;40,33333333;60,63146578;16,17747061;39,04742324;63,30661547;26,71710035;58,3296775;49,45113111;84094604800;-0,136287243;9732,060319;8,399966437;77,9;-3,936853422;16,76450588;63,30661547;-23,28289965;1,00008774;0,399;3,511612332;72,9
BWA;1;Africa;Sub-Saharan Africa;;2254126;18582,96654;Botswana;53,78268572;53,97550038;51,49028469;53,51972242;50,15043056;95,8958478;62,50699061;36,64733771;38,11461046;45,75631293;39;100;100;79,66666667;46,86011939;1;56,59930167;34,81980702;20735746572;-0,035143144;9161,834427;10,1804831;78,3;5,563699073;-6,084924501;46,86011939;-235,4931136;1,04161676;0,586;0,080478084;59,5
BRA;1;Americas;Latin America and the Caribbean;;209469333;16068,01996;Brazil;54,12699558;53,96973581;54,11569139;54,49217101;53,40674877;93,7439253;47,16248765;70,89397295;57,13772728;58,39806262;25,66666667;80,71501044;33,95226073;46,77797928;53,42704375;25,58984923;89,902032;56,30630833;31785533566;-0,069795068;17723,49324;36,56806892;82,3;-1,928498956;13,20954785;53,42704375;-24,41015077;-0,07573476;0,563;8,104771597;71,8
BRN;1;Asia;South-eastern Asia;;428962;80777,55067;Brunei Darussalam;45,25594454;48,08378355;50,26103704;52,88802702;53,40363143;1;100;72,68057806;3,826179505;58,83558586;38;100;100;79,33333333;99,19452823;1;95,12148;65,10533608;1,77545E+12;0;18170,14451;0,137538389;78,6;16,90290767;-17,41001984;99,19452823;-208,2045746;0,11708448;;0,166401274;57,5
BGR;1;Europe;Eastern Europe;Post-communist;7024216;21960,36994;Bulgaria;68,94121389;69,44972643;70,35460661;73,19174396;71,33490735;93,56370273;100;40,3337599;59,99542189;66,77639393;84,33333333;100;57,40391737;80,57908357;65,37420634;77,51511481;61,52728;68,13886705;32716676823;0,055292666;10083,43997;27,26947409;64,7;2,329269539;8,519216526;65,37420634;27,51511481;-0,2885454;0,499;2,181571696;50,6
BFA;1;Africa;Sub-Saharan Africa;;19751535;1975,036848;Burkina Faso;26,50514478;26,80721824;22,53484901;29,17838637;26,48006775;100;58,19364676;54,36166024;18,30329684;43,61953461;75,33333333;22,33060825;1;32,88798053;3,061992666;34,76737303;1;12,9431219;0;-0,043694279;13590,41506;5,392809748;67,4;-7,766939175;23,91789438;3,061992666;-15,23262697;3,16236376;0,499;0,007954825;83,9
BDI;1;Africa;Sub-Saharan Africa;;11175378;742,796896;Burundi;43,35623345;44,18654491;38,1119084;47,39955945;43,52467888;100;100;81,10423809;79,01165623;86,70529811;82;1;1;28;0,888299635;100;1;33,96276654;0;0,018610311;20276,05952;39,63390269;65,4;-12,3629131;39,31143989;0,888299635;53,07906703;3,5128341;0,05;0,01535063;98,2
KHM;1;Asia;South-eastern Asia;Post-communist;16249798;4354,074297;Cambodia;37,07010464;40,73962628;37,66659795;43,51807121;43,12045558;100;1;52,95448442;56,48391513;36,81279985;65,33333333;10,55383904;57,32403581;44,40373606;2,062107679;74,90112802;70,18427333;49,04916968;0;-0,397083008;13238,6211;19,12985585;70,4;-8,944616096;8,535192838;2,062107679;24,90112802;0,71557744;0,079;0,026241065;82,5
CMR;1;Africa;Sub-Saharan Africa;;25216237;3771,052011;Cameroon;21,06460535;21,71630347;21,07066761;22,7614995;15,01836834;98,23985139;12,91776137;69,57444095;51,31914073;44,60378102;58,33333333;65,7509881;17,34689703;47,14373949;2,845634492;1;1;1,615211497;8839814214;-0,189582907;17393,61024;31,78952531;72,5;-3,42490119;16,53062059;2,845634492;-96,51416568;2,56536052;0,131;0,008029004;97
CAN;1;Americas;Northern America;;37058856;48106,89302;Canada;57,86233414;58,08213505;57,4704855;56,9821302;55,66790402;28,36932539;91,15378225;34,04489504;55,23718498;60,14528742;58;70,70826672;35,05735094;54,58853922;69,5556;54,72396087;66,13731493;63,47229194;4,67371E+11;-0,001956389;8511,223759;34,28867797;72,6;-2,929173328;12,98852981;69,5556;4,723960875;-0,253970138;0,759;9,315508034;20
